lat,lng,city,state_id
47.5164,-122.661,Port_Orchard,WA
47.8147,-122.2676,Alderwood_Manor,WA
46.1979,-119.1732,Kennewick,WA
47.3668,-122.1044,Covington,WA
46.5567,-120.4977,Union_Gap,WA
47.2188,-123.1127,Shelton,WA
48.9839,-122.7414,Blaine,WA
48.4202,-122.3116,Mount_Vernon,WA
46.3876,-117.0831,Clarkston_Heights-Vineland,WA
47.5266,-122.5986,Parkwood,WA
47.4445,-122.2986,SeaTac,WA
47.3659,-122.0368,Maple_Valley,WA
47.5193,-122.6183,East_Port_Orchard,WA
47.8745,-122.3079,Picnic_Point,WA
47.1699,-122.5935,Steilacoom,WA
47.6762,-122.1169,Redmond,WA
47.7921,-122.3076,Mountlake_Terrace,WA
47.5519,-122.5517,Manchester,WA
47.1404,-122.3827,Clover_Creek,WA
46.2066,-119.7662,Prosser,WA
47.8027,-122.1044,Maltby,WA
48.2965,-122.6331,Oak_Harbor,WA
47.0512,-122.781,Tanglewilde,WA
47.8361,-122.1877,Mill_Creek_East,WA
47.1734,-122.412,Midland,WA
47.8708,-121.8044,Sultan,WA
47.2828,-122.5769,Wollochet,WA
47.2347,-119.8522,Quincy,WA
47.7569,-122.1477,Woodinville,WA
48.122,-122.7872,Port_Townsend,WA
48.1142,-123.4565,Port_Angeles,WA
47.1789,-122.1698,Bonney_Lake,WA
47.703,-117.0854,Otis_Orchards-East_Farms,WA
46.0418,-118.3879,College_Place,WA
47.8968,-122.1817,Eastmont,WA
47.3119,-119.5344,Ephrata,WA
46.989,-122.9173,Tumwater,WA
47.9094,-122.3035,Mukilteo,WA
45.6911,-122.6911,Lake_Shore,WA
48.0029,-122.096,Lake_Stevens,WA
46.9398,-122.6261,Yelm,WA
39.7485,-75.6953,Pike_Creek,DE
39.7385,-75.5946,Elsmere,DE
38.6539,-75.6117,Seaford,DE
38.9091,-75.4224,Milford,DE
39.2922,-75.6076,Smyrna,DE
39.6858,-75.5849,Wilmington_Manor,DE
39.6685,-75.5692,New_Castle,DE
39.7551,-75.507,Edgemoor,DE
38.6899,-75.3872,Georgetown,DE
39.755,-75.7331,North_Star,DE
39.4453,-75.7166,Middletown,DE
39.6188,-75.6804,Bear,DE
39.7415,-75.5413,Wilmington,DE
39.7296,-75.6993,Pike_Creek_Valley,DE
38.5865,-75.3019,Millsboro,DE
39.6015,-75.7474,Glasgow,DE
38.7781,-75.1454,Lewes,DE
39.6666,-75.7153,Brookside,DE
39.8032,-75.4606,Claymont,DE
39.6776,-75.7573,Newark,DE
38.5357,-75.0991,Ocean_View,DE
39.7837,-75.6815,Hockessin,DE
39.161,-75.5203,Dover,DE
38.9047,-77.0163,Washington,DC
42.8088,-88.215,Tichigan,WI
44.2981,-90.8419,Black_River_Falls,WI
44.2895,-88.3199,Little_Chute,WI
42.8372,-88.734,Whitewater,WI
43.054,-89.3334,Monona,WI
44.8608,-92.6244,River_Falls,WI
42.6281,-88.6324,Delavan,WI
42.937,-88.0018,Greendale,WI
44.9615,-89.6457,Wausau,WI
42.6711,-88.5377,Elkhorn,WI
43.1827,-89.2357,Sun_Prairie,WI
